Price,Close,High,Low,Open,Volume,SMA20,EMA20,RSI
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2023-05-12,170.34095764160156,171.8117019924622,168.79122976444327,171.3773829679925,45533100,166.20608673095703,166.5200775767161,65.65825491679323
2023-05-15,169.847412109375,170.97268634600138,169.2551561693846,170.92332917405315,37266700,166.55493392944337,166.836998356387,68.70567375886525
2023-05-16,169.847412109375,170.903583292935,169.58089543020992,169.76844364659667,42110300,166.84266662597656,167.12373043968228,68.73597865430368
2023-05-17,170.4593963623047,170.69628668546216,168.21871333171157,169.492059065459,57951600,167.10382537841798,167.44143898526653,62.02935482515097
2023-05-18,172.78890991210938,172.97645812210007,170.35081330561755,170.76538642479474,65496700,167.52976150512694,167.95075975320142,64.11796683458101
2023-05-19,172.89752197265625,174.11163026725697,172.68036243226308,174.11163026725697,55809500,168.04146347045898,168.42191162045242,64.60661918596057
2023-05-22,171.94989013671875,172.45331220735133,171.2095777379714,171.73273062815065,43570900,168.49050674438476,168.75793000073105,64.89578115096748
2023-05-23,169.34402465820312,171.14052366482818,169.06764251282962,170.89375281633775,50747300,168.8861396789551,168.8137516097216,60.175834878700456
2023-05-24,169.62037658691406,170.19288666082696,168.317434571077,168.88006417332414,45143500,169.29608612060548,168.89057685908566,65.7337109779301
2023-05-25,170.7555694580078,171.6538039402033,169.47235797554546,170.1830592562416,56058300,169.53361129760742,169.06820319904074,48.724404921303424
2023-05-26,173.16400146484375,173.49962120538788,170.87397623432938,171.08127033696854,54835000,169.8289665222168,169.4582951146473,56.907633763610626
2023-05-30,175.0098419189453,176.67801481811213,174.28927545149398,174.67423726963298,55964400,170.2210479736328,169.98703334468775,68.19636598458563
2023-05-31,174.96047973632812,177.03336027410137,174.47680359439627,175.0394481918492,99625300,170.66241226196288,170.46071070067032,63.92553037640181
2023-06-01,177.76377868652344,177.79338997239293,174.64459270694314,175.40465085487386,68901800,171.29766311645508,171.15626196945843,69.63003819430674
2023-06-02,178.61273193359375,179.43201293417297,176.94455863641292,178.6917004102191,61996900,172.0571746826172,171.86642135069354,75.11990013187855
2023-06-05,177.26040649414062,182.56103856696868,175.74028990045602,180.27101332814428,121946500,172.3656265258789,172.38014690875193,71.39594328919831
2023-06-06,176.89520263671875,177.79343698174293,175.13818052764557,177.64538051324874,64848400,172.65926818847657,172.81016182464836,69.92187971753859
2023-06-07,175.5231475830078,178.86935913776645,175.02960596689772,176.135134367242,61944600,172.9695701599121,173.0685466443085,63.7239154708242
2023-06-08,178.2376251220703,178.50412674833163,175.1677956906412,175.60209965770608,50214900,173.32737426757814,173.56084883740616,64.46540855025485
2023-06-09,178.62258911132812,179.87617397731293,178.2968498358667,179.1556074319137,48900000,173.69506378173827,174.04292731763664,64.97927961737159
2023-06-12,181.416015625,181.51472997018058,178.63244881890137,178.92857679274874,54274900,174.2488166809082,174.74513671821336,72.58598644488393
2023-06-13,180.94219970703125,181.77134589189876,180.08344223425368,180.4387927508673,54929100,174.803556060791,175.3353411888235,80.80737336154277
2023-06-14,181.57394409179688,182.00826309164242,179.668880824476,181.00143405215442,57462900,175.3898826599121,175.92950112874075,81.16301660963578
2023-06-15,183.6073455810547,184.11076766616947,181.4061542027307,181.5838370156226,65433200,176.04728012084962,176.6607325188843,82.00573649514435
2023-06-16,182.53140258789062,184.57467180700263,181.88980460620309,184.31802056497352,101256200,176.53440475463867,177.2198495638351,74.9866499519724
2023-06-20,182.62026977539062,183.69620198313194,182.02802885230534,182.02802885230534,49799100,177.0205421447754,177.7341799672458,72.39963532333616
2023-06-21,181.58383178710938,183.015099412311,180.23151756348105,182.51167734169172,49515700,177.50223922729492,178.10081648516842,68.42387631960503
2023-06-22,184.58456420898438,184.63392138287654,181.29757524213758,181.36667829792557,51245300,178.26426620483397,178.7183208570732,68.7669351094049
2023-06-23,184.26870727539062,185.13734541827677,182.62027993546528,183.1533133637622,53117000,178.9966827392578,179.24693264140436,66.03235623344516
2023-06-26,182.8768768310547,185.62096644420274,182.83738507538382,184.4167239450006,48088700,179.60274810791014,179.59264371480253,65.88480012428846
2023-06-27,185.63088989257812,185.95662920109734,183.27176132029933,183.48892085931215,50730800,180.22609252929686,180.16771794436167,71.76568720782757
2023-06-28,186.80551147460938,187.4471095844542,185.17683008088284,185.50255431027165,51216800,180.81587600708008,180.7998919046737,78.39025839938137
2023-06-29,187.14111328125,187.6149240946042,186.49951518133068,186.63770623646846,46347300,181.42490768432617,181.40382047091592,75.45125346002423
2023-06-30,191.4645538330078,191.96796090675178,188.7895513940242,189.15478246637608,85213200,182.10994644165038,182.36198945869472,79.96295977197688
2023-07-03,189.97402954101562,191.37568580561538,189.28305928715224,191.27697146600818,31458200,182.6780113220215,183.0869483306431,71.26021203427968
2023-07-05,188.85862731933594,190.48730854754436,188.15779163185775,189.09553270560195,46920300,183.25792236328124,183.63663387801063,69.05881289770835
2023-07-06,189.33242797851562,189.53972207962792,186.756140199604,187.3878728511301,45094300,183.8797836303711,184.179092096669,68.82170207473304
2023-07-07,188.21702575683594,190.1813268348204,187.78272178125238,188.93760736945495,46815000,184.5144775390625,184.56365825757933,61.70416700889377
2023-07-10,186.1737823486328,187.5359621262765,184.6240543335807,186.81538047079187,59922200,184.91128540039062,184.71700378807108,58.81514876004369
2023-07-11,185.65060424804688,186.85484691926047,184.18972537508213,186.71665587805697,46638100,185.26268615722657,184.80591831639998,57.18290073508668
2023-07-12,187.3188018798828,189.2238654174545,186.0355905787657,187.22995293607858,60750200,185.5578254699707,185.0452410446891,63.19849700630344
2023-07-13,188.07884216308594,188.72045533421505,187.32866429002723,188.03936545890204,41342300,185.91465759277344,185.33415596572584,58.96651393640772
2023-07-14,188.22689819335938,188.71055932283986,187.18059240914323,187.77283329330808,41616200,186.24730529785157,185.60965568173052,60.24516936259757
2023-07-17,191.48426818847656,191.81000743962883,189.33241906132668,189.421252931179,50520200,186.64115142822266,186.16914342541202,70.31684677455371
2023-07-18,191.22763061523438,191.8198865800326,189.93455398917624,190.85254922844402,48288200,187.07596282958986,186.65090476323235,64.97614680697124
2023-07-19,192.57992553710938,195.6694855056854,190.1615598085878,190.60575926840173,80507300,187.57394561767578,187.2155741009274,65.30603825538861
2023-07-20,190.6354217529297,193.9322766922405,190.01355439154148,192.57009678127483,59581200,188.0265251159668,187.54127423873334,58.53432205948009
2023-07-21,189.4607696533203,192.4516308259383,188.75993388819955,191.5928731808388,71951700,188.27033538818358,187.72408350937758,44.216506650224616
2023-07-24,190.26028442382812,192.3923877240068,189.76674282999198,190.9117629424984,45377800,188.56991424560547,187.96562667302445,50.86053940591589
2023-07-25,191.1190643310547,191.9284798692301,190.42810903120733,190.83281680029503,37283200,188.98202362060547,188.26595431585744,56.90181476636141
2023-07-26,191.98768615722656,193.11296042478057,190.8229351880455,191.1684052777898,47471900,189.29986343383788,188.62040523098477,57.9164585363457
